DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/10/01 15:20:00;AQUA_M-T;Brasil;PERNAMBUCO;TIMBAUBA;Mata Atlantica;0;0;0;"-7,565";"-35,328";;139.5
2018/10/01 15:20:00;AQUA_M-T;Brasil;PERNAMBUCO;TIMBAUBA;Mata Atlantica;0;0;0;"-7,567";"-35,32";;109.8
2018/10/01 15:20:00;AQUA_M-T;Brasil;PERNAMBUCO;TIMBAUBA;Mata Atlantica;0;0;0;"-7,572";"-35,358";;75.4
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;REGISTRO;Mata Atlantica;0;0;0;"-24,453";"-47,774";;7
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;ELDORADO;Mata Atlantica;0;0;0;"-24,518";"-48,164";;5.9
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;IGUAPE;Mata Atlantica;0;0;0;"-24,564";"-47,445";;10.5
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;IPORANGA;Mata Atlantica;0;0;0;"-24,666";"-48,631";;47.4
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;IPORANGA;Mata Atlantica;0;0;0;"-24,667";"-48,643";;29.8
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;IPORANGA;Mata Atlantica;0;0;0;"-24,669";"-48,636";;99.6
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;CAJATI;Mata Atlantica;0;0;0;"-24,792";"-48,264";;12
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;CAJATI;Mata Atlantica;0;0;0;"-24,793";"-48,275";;7.8
2018/10/01 16:50:00;AQUA_M-T;Brasil;PARANA;LAPA;Mata Atlantica;0;0;0;"-25,654";"-49,938";;6.4
2018/10/01 16:50:00;AQUA_M-T;Brasil;SANTA CATARINA;JOINVILLE;Mata Atlantica;0;0;0;"-26,243";"-48,888";;15.6
2018/10/01 16:50:00;AQUA_M-T;Brasil;SANTA CATARINA;JARAGUA DO SUL;Mata Atlantica;0;0;0;"-26,485";"-49,053";;10.7
2018/10/01 16:50:00;AQUA_M-T;Brasil;SANTA CATARINA;ANITAPOLIS;Mata Atlantica;0;0;0;"-27,996";"-49,137";;18.2
2018/10/01 16:50:00;AQUA_M-T;Brasil;SANTA CATARINA;SAO BONIFACIO;Mata Atlantica;0;0;0;"-28,067";"-48,955";;9.3
2018/10/01 16:50:00;AQUA_M-T;Brasil;SANTA CATARINA;SAO BONIFACIO;Mata Atlantica;0;0;0;"-28,068";"-48,969";;9
2018/10/01 16:50:00;AQUA_M-T;Brasil;SANTA CATARINA;RIO FORTUNA;Mata Atlantica;0;0;0;"-28,086";"-49,119";;11
2018/10/01 16:50:00;AQUA_M-T;Brasil;SAO PAULO;ITARARE;Cerrado;0;0;0;"-24,198";"-49,183";;28.4
2018/10/01 16:50:00;AQUA_M-T;Brasil;PARANA;JAGUARIAIVA;Cerrado;0;0;0;"-24,289";"-49,768";;13.8
2018/10/01 16:55:00;AQUA_M-T;Brasil;MATO GROSSO;SANTA TEREZINHA;Amazonia;0;0;0;"-10,013";"-50,519";;10.1
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;PALMAS;Cerrado;0;0;0;"-10,424";"-48,113";;29.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;MONTE DO CARMO;Cerrado;0;0;0;"-10,95";"-48,063";;13.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;MATO GROSSO;SANTA CARMEM;Amazonia;0;0;0;"-11,763";"-54,75";;11.1
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;SAO VALERIO;Cerrado;0;0;0;"-11,862";"-47,947";;11.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;PONTE ALTA DO BOM JESUS;Cerrado;0;0;0;"-12,05";"-46,729";;13.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;PARANA;Cerrado;0;0;0;"-12,071";"-47,922";;18.8
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;PEIXE;Cerrado;0;0;0;"-12,101";"-48,193";;14
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;FIGUEIROPOLIS;Cerrado;0;0;0;"-12,115";"-49,188";;9.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;PONTE ALTA DO BOM JESUS;Cerrado;0;0;0;"-12,152";"-46,664";;11.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;TAGUATINGA;Cerrado;0;0;0;"-12,398";"-46,66";;10
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;TAGUATINGA;Cerrado;0;0;0;"-12,437";"-46,726";;21.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;PARANA;Cerrado;0;0;0;"-12,567";"-48,232";;25
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;PARANA;Cerrado;0;0;0;"-12,577";"-48,24";;14
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-12,758";"-46,858";;16.1
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-12,969";"-47,396";;20.6
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-12,97";"-47,405";;11.6
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-12,986";"-47,383";;10.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-12,987";"-47,393";;37
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-13,031";"-47,39";;17.7
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-13,033";"-47,4";;7.2
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-13,039";"-47,379";;10.2
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-13,041";"-47,389";;46.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARRAIAS;Cerrado;0;0;0;"-13,042";"-47,398";;9.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;PARANA;Cerrado;0;0;0;"-13,255";"-47,72";;15.6
2018/10/01 16:55:00;AQUA_M-T;Brasil;MATO GROSSO;NOVA MARILANDIA;Amazonia;0;0;0;"-14,264";"-57,13";;30
2018/10/01 16:55:00;AQUA_M-T;Brasil;MATO GROSSO;NOVA MARILANDIA;Amazonia;0;0;0;"-14,268";"-57,134";;29.2
2018/10/01 16:55:00;AQUA_M-T;Brasil;MATO GROSSO;GLORIA D'OESTE;Amazonia;0;0;0;"-15,818";"-58,29";;126.1
2018/10/01 16:55:00;AQUA_M-T;Brasil;MATO GROSSO;GLORIA D'OESTE;Amazonia;0;0;0;"-15,821";"-58,285";;114.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;MATO GROSSO;CACERES;Pantanal;0;0;0;"-16,858";"-58,282";;122.7
2018/10/01 16:55:00;AQUA_M-T;Brasil;MATO GROSSO;CACERES;Pantanal;0;0;0;"-16,86";"-58,274";;123.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;ACAILANDIA;Amazonia;0;0;0;"-4,479";"-46,91";;19.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;BOM JESUS DO TOCANTINS;Amazonia;0;0;0;"-4,909";"-48,547";;12.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;ITUPIRANGA;Amazonia;0;0;0;"-4,923";"-49,52";;18.2
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;BOM JESUS DO TOCANTINS;Amazonia;0;0;0;"-5,227";"-48,63";;10.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;BURITI DO TOCANTINS;Amazonia;0;0;0;"-5,285";"-48,141";;84.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,345";"-51,185";;11.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,347";"-51,195";;11.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;MARABA;Amazonia;0;0;0;"-5,406";"-49,3";;10.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;MARABA;Amazonia;0;0;0;"-5,443";"-50,642";;19.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,459";"-51,082";;11.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,508";"-51,432";;9.7
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;MARABA;Amazonia;0;0;0;"-5,516";"-50,506";;13.1
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;ARAGUATINS;Cerrado;0;0;0;"-5,566";"-47,949";;47.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,583";"-51,497";;9.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;MARABA;Amazonia;0;0;0;"-5,621";"-49,957";;8.6
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,628";"-51,164";;58.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,629";"-51,173";;53.6
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;PALESTINA DO PARA;Amazonia;0;0;0;"-5,699";"-48,283";;24
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;PALESTINA DO PARA;Amazonia;0;0;0;"-5,701";"-48,293";;13.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;MARABA;Amazonia;0;0;0;"-5,702";"-49,756";;15.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,793";"-52,401";;22.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;GRAJAU;Cerrado;0;0;0;"-5,837";"-45,649";;20.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,926";"-51,52";;15.7
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,939";"-51,479";;36.2
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-5,94";"-51,489";;38.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;MARABA;Amazonia;0;0;0;"-5,989";"-51,05";;7
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;JACAREACANGA;Amazonia;0;0;0;"-6,012";"-57,757";;39.8
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;MARABA;Amazonia;0;0;0;"-6,041";"-51,353";;13.8
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;MARABA;Amazonia;0;0;0;"-6,056";"-51,138";;30.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;LAJEADO NOVO;Cerrado;0;0;0;"-6,083";"-46,819";;75.7
2018/10/01 16:55:00;AQUA_M-T;Brasil;TOCANTINS;SAO BENTO DO TOCANTINS;Cerrado;0;0;0;"-6,089";"-48,038";;61.6
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;SITIO NOVO;Cerrado;0;0;0;"-6,091";"-46,66";;18.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;MIRADOR;Cerrado;0;0;0;"-6,121";"-44,323";;36.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;MIRADOR;Cerrado;0;0;0;"-6,124";"-44,34";;35.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;MIRADOR;Cerrado;0;0;0;"-6,126";"-44,335";;53
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO GERALDO DO ARAGUAIA;Amazonia;0;0;0;"-6,128";"-48,812";;20.6
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO GERALDO DO ARAGUAIA;Amazonia;0;0;0;"-6,129";"-48,822";;38.8
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,147";"-52,653";;13.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,148";"-52,664";;10.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,168";"-51,598";;16.7
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,189";"-52,605";;12.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,197";"-51,224";;17.2
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,199";"-51,233";;15.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;CURIONOPOLIS;Amazonia;0;0;0;"-6,203";"-49,655";;16.3
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,236";"-52,727";;8.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;ALTAMIRA;Amazonia;0;0;0;"-6,256";"-54,407";;5.4
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;ELDORADO DO CARAJAS;Amazonia;0;0;0;"-6,312";"-49,265";;14.6
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,327";"-52,627";;11.8
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,328";"-52,637";;22.1
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,336";"-52,625";;15
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,338";"-52,636";;40.8
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,34";"-52,582";;58
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,351";"-52,591";;21.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,366";"-51,244";;20.7
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,405";"-51,391";;8.9
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,406";"-51,401";;30.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;MIRADOR;Cerrado;0;0;0;"-6,469";"-44,44";;43.7
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;SAO JOAO DO PARAISO;Cerrado;0;0;0;"-6,546";"-46,779";;14.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;SUCUPIRA DO NORTE;Cerrado;0;0;0;"-6,588";"-44,426";;28.5
2018/10/01 16:55:00;AQUA_M-T;Brasil;MARANHAO;SUCUPIRA DO NORTE;Cerrado;0;0;0;"-6,595";"-44,432";;16.1
2018/10/01 16:55:00;AQUA_M-T;Brasil;PARA;SAO FELIX DO XINGU;Amazonia;0;0;0;"-6,603";"-51,554";;6.5
